,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
289,distro making,hacking,excellent,Computer Architecture,developer,Cloud Services,no,Applications Developer
290,full stack,cloud computing,medium,data engineering,security,Web Services,yes,Applications Developer
291,r programming,database security,poor,hacking,developer,BPA,no,Applications Developer
292,information security,system designing,excellent,IOT,testing,Cloud Services,no,Applications Developer
293,distro making,testing,medium,Software Engineering,testing,Product based,no,Applications Developer
294,python,hacking,medium,networks,security,Sales and Marketing,yes,Applications Developer
295,shell programming,testing,medium,cloud computing,cloud computing,Web Services,yes,Applications Developer
296,information security,hacking,excellent,data engineering,system developer,product development,yes,Applications Developer
297,r programming,web technologies,excellent,Computer Architecture,Business process analyst,Web Services,no,Applications Developer
298,full stack,data science,excellent,programming,security,Sales and Marketing,no,Applications Developer
299,distro making,game development,poor,data engineering,security,product development,no,Applications Developer
300,python,cloud computing,excellent,cloud computing,security,Product based,yes,Applications Developer
301,r programming,system designing,medium,Computer Architecture,developer,Cloud Services,no,Applications Developer
302,full stack,game development,medium,Computer Architecture,system developer,Service Based,no,Applications Developer
303,full stack,database security,poor,programming,system developer,Web Services,yes,Applications Developer
304,distro making,data science,excellent,Management,developer,Product based,no,Applications Developer
305,python,system designing,medium,hacking,testing,SAaS services,yes,Applications Developer
306,python,testing,medium,Software Engineering,Business process analyst,Web Services,no,Applications Developer
307,information security,web technologies,excellent,programming,Business process analyst,product development,no,Applications Developer
308,app development,data science,medium,Computer Architecture,cloud computing,Sales and Marketing,no,Applications Developer
309,app development,game development,medium,programming,Business process analyst,Product based,no,Applications Developer
310,information security,testing,poor,networks,system developer,product development,no,Applications Developer
311,shell programming,game development,medium,cloud computing,Business process analyst,product development,yes,Applications Developer
312,full stack,database security,excellent,cloud computing,security,Product based,yes,Applications Developer
313,machine learning,system designing,excellent,programming,Business process analyst,Testing and Maintainance Services,yes,Applications Developer
314,information security,cloud computing,poor,Management,system developer,product development,yes,Applications Developer
315,shell programming,testing,medium,hacking,cloud computing,Testing and Maintainance Services,no,Applications Developer
316,distro making,data science,excellent,programming,system developer,Product based,yes,Applications Developer
317,distro making,cloud computing,poor,hacking,security,Sales and Marketing,yes,Applications Developer
318,hadoop,web technologies,excellent,networks,system developer,Product based,yes,Applications Developer
319,information security,database security,excellent,Computer Architecture,developer,Sales and Marketing,no,Applications Developer
320,shell programming,game development,medium,data engineering,developer,SAaS services,yes,Applications Developer
321,r programming,system designing,poor,IOT,testing,Finance,yes,Applications Developer
322,shell programming,cloud computing,excellent,programming,testing,Product based,yes,Applications Developer
323,full stack,database security,medium,data engineering,developer,Testing and Maintainance Services,yes,Applications Developer
324,distro making,hacking,poor,cloud computing,system developer,Web Services,yes,Applications Developer
325,full stack,game development,poor,IOT,security,Finance,yes,Applications Developer
326,app development,testing,excellent,Management,security,Product based,yes,Applications Developer
327,r programming,web technologies,medium,data engineering,cloud computing,BPA,yes,Applications Developer
328,distro making,game development,medium,parallel computing,developer,BPA,yes,Applications Developer
329,r programming,system designing,excellent,networks,system developer,Testing and Maintainance Services,no,Applications Developer
330,shell programming,web technologies,excellent,Computer Architecture,system developer,Cloud Services,yes,Applications Developer
331,distro making,web technologies,medium,parallel computing,developer,Finance,yes,Applications Developer
332,hadoop,game development,medium,Management,Business process analyst,Sales and Marketing,yes,Applications Developer
333,machine learning,hacking,medium,Management,testing,Testing and Maintainance Services,yes,Applications Developer
334,r programming,testing,excellent,programming,developer,SAaS services,no,Applications Developer
335,machine learning,data science,medium,hacking,security,Web Services,yes,Applications Developer
336,app development,game development,medium,networks,cloud computing,Product based,yes,Applications Developer
337,distro making,hacking,medium,networks,developer,product development,yes,Applications Developer
338,distro making,database security,poor,parallel computing,Business process analyst,Web Services,no,Applications Developer
339,distro making,database security,poor,networks,testing,Web Services,no,Applications Developer
340,hadoop,game development,poor,Management,system developer,Cloud Services,yes,Applications Developer
341,app development,web technologies,excellent,Software Engineering,cloud computing,SAaS services,no,Applications Developer
342,hadoop,game development,poor,IOT,testing,product development,no,Applications Developer
343,app development,game development,medium,hacking,security,Finance,yes,Applications Developer
344,app development,web technologies,medium,Management,cloud computing,Testing and Maintainance Services,yes,Applications Developer
345,distro making,cloud computing,excellent,Software Engineering,system developer,BPA,yes,Applications Developer
346,app development,hacking,poor,Software Engineering,testing,Product based,no,Applications Developer
347,r programming,web technologies,poor,data engineering,system developer,Web Services,yes,Applications Developer
348,distro making,testing,poor,Computer Architecture,developer,product development,yes,Applications Developer
349,distro making,web technologies,medium,IOT,cloud computing,Testing and Maintainance Services,no,Applications Developer
350,r programming,database security,excellent,hacking,developer,Sales and Marketing,yes,Applications Developer
351,full stack,game development,excellent,Software Engineering,cloud computing,Finance,no,Applications Developer
352,machine learning,testing,excellent,programming,Business process analyst,Product based,no,Applications Developer
353,python,system designing,medium,IOT,Business process analyst,Finance,no,Applications Developer
354,hadoop,cloud computing,excellent,Software Engineering,testing,Web Services,yes,Applications Developer
355,machine learning,data science,excellent,parallel computing,system developer,Cloud Services,no,Applications Developer
356,hadoop,hacking,medium,hacking,developer,Sales and Marketing,yes,Applications Developer
357,app development,data science,excellent,Management,testing,SAaS services,no,Applications Developer
358,information security,database security,poor,parallel computing,system developer,Sales and Marketing,yes,Applications Developer
359,r programming,database security,excellent,programming,Business process analyst,Web Services,no,Applications Developer
360,distro making,web technologies,excellent,Management,system developer,Finance,yes,Applications Developer
361,shell programming,testing,poor,networks,Business process analyst,Web Services,no,Applications Developer
362,information security,system designing,medium,data engineering,cloud computing,Service Based,yes,Applications Developer
363,r programming,cloud computing,excellent,cloud computing,security,Product based,yes,Applications Developer
364,machine learning,testing,poor,Computer Architecture,security,Service Based,yes,Applications Developer
365,shell programming,game development,poor,networks,security,Product based,yes,Applications Developer
366,information security,testing,excellent,hacking,Business process analyst,Web Services,yes,Applications Developer
